"","cl1","cl2","cl3","cl4"
"A1CF",-0.0189237636235974,0.0150431999491955,0.0161928331133455,0.00273142287914054
"A2M",0.0226192044514267,0.0164793422673063,0.00879101127403735,-0.000729391009167726
"AAAS",-0.00270099779849008,-0.00505121317187521,-0.00124888331444096,0.00379942656252282
"AACS",-0.00254228209103129,-0.00685893996079586,0.00583441172879323,0.00589567898672303
"AADAC",-0.00347376550581092,-0.00236023180727413,-0.00366076157471338,-0.00476121879108737
"AAK1",0.00152220502530385,0.0059080138276763,-0.00470850931153506,-0.000685346106181097
"AAMP",-0.00173248165059885,-0.00573495735748622,-0.00132069679799864,0.00434012677307312
"AARS",-0.00208806810700033,-0.00218029826747614,-0.00314181083400274,0.00586517708040957
"AASDHPPT",0.000214169587667694,7.25511030497548e-05,-0.00480104373253129,0.0113819745024402
"AATK",-0.00126943806707171,0.00178956247557934,-0.0016982118958774,-0.00114326345136198
"ABAT",-0.0158073766771919,0.0390155194571224,0.00550303341828778,0.0117385811425169
"ABCA1",0.0132941366534817,0.00836186782524084,0.000921939930636894,0.00258649524095998
"ABCA12",0.00302746862069913,-0.0132499707281039,0.00540079295908463,-0.00498583588357479
"ABCA2",-0.000240085151785868,-0.00508793624933954,0.00321043857692401,0.0015580072406328
"ABCA3",0.00807736957690007,-0.00959467791422293,-0.00447899643308898,-0.00258703229360061
"ABCA4",1.23057989996668e-05,0.00050589095887784,0.00340538182405714,-0.00231105810652499
"ABCA5",-0.00346296232441229,0.00636393239856294,0.0126870429912217,-0.00423692094081734
"ABCA6",0.00981741083039237,0.0126967991636096,-0.00433572293178035,-0.00509059544401388
"ABCA7",-0.00129003602368598,-0.00675554665326886,-0.00296324335488719,-0.00234118704164789
"ABCA8",0.0109314587281888,0.0278129878525098,0.0102106494188269,-0.00561970156243727
"ABCB1",-0.00967423894468287,0.0249119896651516,0.016026476353128,0.00813700032896386
"ABCB4",0.00216373883586656,0.00873845687503626,0.00135838240609141,-0.00189854246132246
"ABCB7",-0.0034220041360404,0.0013682292231249,-0.000789071687865231,0.00565340292819893
"ABCB8",-0.00120313980231267,-0.00312639582097112,-0.00294189681414122,-0.000462940030322771
"ABCB9",-0.00697416062680862,0.00305455575759754,-0.00746068276501554,-0.0056987777825687
"ABCC1",-0.00478177284280198,0.00197476989500021,0.000646311178364844,0.00213150459768778
"ABCC10",-0.00441834076407154,0.00431127210704153,-0.00189389132778296,0.00263575321217146
"ABCC2",-0.00748299543801419,0.0126151216852761,-0.00964031851546417,0.0058124678885317
"ABCC4",-0.00362746729389551,0.0112529103291413,-0.000924412607033228,0.0102104075043236
"ABCC5",-0.0022986007035984,0.00889482007201318,0.00162259548626911,0.00187378426977516
"ABCC6",-0.0130364575450588,0.0125124536971914,0.00678943672054153,0.00133536786958108
"ABCC8",-0.00424900211963742,-0.000104015100507846,-0.00474270644256843,-0.000451140668481807
"ABCC9",0.00265110764051932,0.00627927229376289,-0.00489273935600895,-0.00447812108054901
"ABCD4",-0.000405765338621344,-0.00629121526344859,-0.00042435537177914,-0.00288678157144722
"ABCE1",-0.00467246813993986,-0.0059273873816142,-0.00406835924879024,0.00908757099939186
"ABCF1",-0.000877942684406722,0.00132865775539993,-0.00179146788935041,0.00690793516746903
